Postcodes,WasteType,HeavyWaste,PlasterBoard,ToneBag,SelfDispose,SkipSize,BookingDay,Placement
KS1K 6PD,Household Waste,No,Yes,No,No,12,17,Grass verge
KZ4B 2GV,Household Waste,No,Yes,No,No,12,16,Not sure
XG5U 1DT,Household Waste,No,Yes,No,No,14,15,Private Property
M2V 7JM,Household Waste,No,Yes,No,No,14,14,Public Property
W1L 1PG,Household Waste,No,Yes,No,No,14,13,Grass verge
L4 3NI,Household Waste,No,Yes,No,No,14,12,Not sure
Q1D 4GM,Household Waste,No,Yes,No,No,16,11,Private Property
LY6F 1NR,Household Waste,No,Yes,No,No,16,12,Public Property
OZ2 5UQ,Household Waste,No,Yes,No,No,16,10,Grass verge
X2M 4AZ,Household Waste,No,Yes,No,No,16,9,Not sure
W5J 1GU,Household Waste,No,Yes,No,No,20,8,Private Property
R6 4DT,Household Waste,No,Yes,No,No,20,7,Public Property
MI1 8IB,Household Waste,No,Yes,No,No,20,6,Grass verge
Q8E 4WU,Household Waste,No,Yes,No,No,20,5,Not sure
H7X 6TM,Household Waste,No,Yes,No,No,40,6,Private Property
L9O 8EB,Household Waste,No,Yes,No,No,40,7,Public Property
GF1 2WD,Household Waste,No,Yes,No,No,40,8,Grass verge
ZB2P 0CC,Household Waste,No,Yes,No,No,40,19,Not sure
M9 0GH,Household Waste,No,No,No,No,4,18,Private Property
XM9 4ED,Household Waste,No,No,No,No,4,17,Public Property
A7 8CX,Household Waste,No,No,No,No,4,16,Grass verge
M5 3UE,Household Waste,No,No,No,No,4,15,Not sure
CV8W 9RK,Household Waste,No,No,No,No,5,14,Private Property
V2 7FX,Household Waste,No,No,No,No,5,13,Public Property
A1O 1HC,Household Waste,No,No,No,No,5,12,Grass verge
RE7 9QJ,Household Waste,No,No,No,No,5,11,Not sure
V4U 7NK,Household Waste,No,No,No,No,6,12,Private Property
F1 4JX,Household Waste,No,No,No,No,6,10,Public Property
K7 7JT,Household Waste,No,No,No,No,6,9,Grass verge
QJ1B 1TF,Household Waste,No,No,No,No,6,8,Not sure
TP9 5LB,Household Waste,No,No,No,No,8,7,Private Property
X8A 3LA,Household Waste,No,No,No,No,8,6,Public Property
W9V 4EO,Household Waste,No,No,No,No,8,5,Grass verge
L2S 5NL,Household Waste,No,No,No,No,8,6,Not sure
ZR8 4WY,Household Waste,No,No,No,No,10,7,Private Property
O7K 6AU,Household Waste,No,No,No,No,10,22,Public Property
Y2N 8NC,Household Waste,No,No,No,No,10,23,Grass verge
LH3V 9XL,Household Waste,No,No,No,No,10,24,Not sure
W6 3RV,Household Waste,No,No,No,No,12,25,Private Property
FQ6C 3XL,Household Waste,No,No,No,No,12,26,Public Property
L9J 9OP,Household Waste,No,No,No,No,12,27,Grass verge
F2 3VO,Household Waste,No,No,No,No,12,28,Not sure
B2Y 3GN,Household Waste,No,No,No,No,14,29,Private Property
U4O 8DL,Household Waste,No,No,No,No,14,20,Public Property
YD7Z 8TM,Household Waste,No,No,No,No,14,19,Grass verge
Q9I 2ZJ,Household Waste,No,No,No,No,14,18,Not sure
M3 7KM,Household Waste,No,No,No,No,16,17,Private Property
II1 3BD,Household Waste,No,No,No,No,16,16,Public Property
I6H 8GL,Household Waste,No,No,No,No,16,15,Grass verge
M4T 3LK,Household Waste,No,No,No,No,16,14,Not sure
LQ5S 6VT,Household Waste,No,No,No,No,20,13,Private Property
QU8 1YW,Household Waste,No,No,No,No,20,12,Public Property
L3S 7XT,Household Waste,No,No,No,No,20,11,Grass verge
FC4 7HV,Household Waste,No,No,No,No,20,12,Not sure
E6D 2IV,Household Waste,No,No,No,No,40,10,Private Property
NY4J 5WK,Household Waste,No,No,No,No,40,9,Public Property
CC5 9MT,Household Waste,No,No,No,No,40,8,Grass verge
XF6B 7SB,Household Waste,No,No,No,No,40,7,Not sure
CG3 3DL,Garden Waste,Yes,Yes,Yes,No,4,6,Private Property
VR3S 6BF,Garden Waste,Yes,Yes,Yes,No,4,5,Public Property
EF9 0MM,Garden Waste,Yes,Yes,Yes,No,4,22,Grass verge
YB6B 4KO,Garden Waste,Yes,Yes,Yes,No,4,23,Not sure
HL3 9VH,Garden Waste,Yes,Yes,Yes,No,5,24,Private Property
DS7 6BG,Garden Waste,Yes,Yes,Yes,No,5,25,Public Property
XD4 0TP,Garden Waste,Yes,Yes,Yes,No,5,26,Grass verge
AG2N 1JK,Garden Waste,Yes,Yes,Yes,No,5,27,Not sure
B2J 8DF,Garden Waste,Yes,Yes,Yes,No,6,28,Private Property
H8G 4GE,Garden Waste,Yes,Yes,Yes,No,6,29,Public Property
JG6A 8EU,Garden Waste,Yes,Yes,Yes,No,6,20,Grass verge
P1Z 7GL,Garden Waste,Yes,Yes,Yes,No,6,19,Not sure
L2L 3EL,Garden Waste,Yes,Yes,Yes,No,8,18,Private Property
J3K 5XJ,Garden Waste,Yes,Yes,Yes,No,8,17,Public Property
I5 9NP,Garden Waste,Yes,Yes,Yes,No,8,16,Grass verge
XA8A 6MG,Garden Waste,Yes,Yes,Yes,No,8,15,Not sure
GC6Y 8MU,Garden Waste,Yes,Yes,No,Yes,4,14,Private Property
W2V 7MB,Garden Waste,Yes,Yes,No,Yes,4,13,Public Property
QA3R 7ZJ,Garden Waste,Yes,Yes,No,Yes,4,12,Grass verge
C5 9WV,Garden Waste,Yes,Yes,No,Yes,4,11,Not sure
F5 5LP,Garden Waste,Yes,Yes,No,Yes,5,12,Private Property
WZ8E 3DM,Garden Waste,Yes,Yes,No,Yes,5,10,Public Property
RF4 3LY,Garden Waste,Yes,Yes,No,Yes,5,9,Grass verge
QY8 9HU,Garden Waste,Yes,Yes,No,Yes,5,8,Not sure
O9 7GL,Garden Waste,Yes,Yes,No,Yes,6,7,Private Property
UE5Y 9SD,Garden Waste,Yes,Yes,No,Yes,6,6,Public Property
NN6K 0WL,Garden Waste,Yes,Yes,No,Yes,6,5,Grass verge
J2 0HJ,Garden Waste,Yes,Yes,No,Yes,6,6,Not sure
H6 2FF,Garden Waste,Yes,Yes,No,Yes,8,22,Private Property
V6L 8UP,Garden Waste,Yes,Yes,No,Yes,8,23,Public Property
TF9I 8HY,Garden Waste,Yes,Yes,No,Yes,8,24,Grass verge
D5W 5SU,Garden Waste,Yes,Yes,No,Yes,8,25,Not sure
Y2 8OV,Garden Waste,Yes,Yes,No,No,4,26,Private Property
UL8 8UK,Garden Waste,Yes,Yes,No,No,4,27,Public Property
W8 1HP,Garden Waste,Yes,Yes,No,No,4,28,Grass verge
A2 5JP,Garden Waste,Yes,Yes,No,No,4,29,Not sure
K7Z 9EF,Garden Waste,Yes,Yes,No,No,5,20,Private Property
Y9 3OC,Garden Waste,Yes,Yes,No,No,5,19,Public Property
U5 9DJ,Garden Waste,Yes,Yes,No,No,5,18,Grass verge
XA3 4UA,Garden Waste,Yes,Yes,No,No,5,17,Not sure
A8B 1XQ,Garden Waste,Yes,Yes,No,No,6,16,Private Property
Y1X 8CJ,Garden Waste,Yes,Yes,No,No,6,15,Public Property
KS1K 6PD,Garden Waste,Yes,Yes,No,No,6,14,Grass verge
KZ4B 2GV,Garden Waste,Yes,Yes,No,No,6,13,Not sure
XG5U 1DT,Garden Waste,Yes,Yes,No,No,8,12,Private Property
M2V 7JM,Garden Waste,Yes,Yes,No,No,8,11,Public Property
W1L 1PG,Garden Waste,Yes,Yes,No,No,8,12,Grass verge
L4 3NI,Garden Waste,Yes,Yes,No,No,8,10,Not sure
Q1D 4GM,Garden Waste,Yes,No,No,No,4,9,Private Property
LY6F 1NR,Garden Waste,Yes,No,No,No,4,8,Public Property
OZ2 5UQ,Garden Waste,Yes,No,No,No,4,7,Grass verge
X2M 4AZ,Garden Waste,Yes,No,No,No,4,6,Not sure
W5J 1GU,Garden Waste,Yes,No,No,No,5,5,Private Property
R6 4DT,Garden Waste,Yes,No,No,No,5,6,Public Property
MI1 8IB,Garden Waste,Yes,No,No,No,5,7,Grass verge
Q8E 4WU,Garden Waste,Yes,No,No,No,5,8,Not sure
H7X 6TM,Garden Waste,Yes,No,No,No,6,19,Private Property
L9O 8EB,Garden Waste,Yes,No,No,No,6,18,Public Property
GF1 2WD,Garden Waste,Yes,No,No,No,6,17,Grass verge
ZB2P 0CC,Garden Waste,Yes,No,No,No,6,16,Not sure
M9 0GH,Garden Waste,Yes,No,No,No,8,15,Private Property
XM9 4ED,Garden Waste,Yes,No,No,No,8,14,Public Property
A7 8CX,Garden Waste,Yes,No,No,No,8,13,Grass verge
M5 3UE,Garden Waste,Yes,No,No,No,8,12,Not sure
CV8W 9RK,Garden Waste,No,Yes,Yes,No,4,11,Private Property
V2 7FX,Garden Waste,No,Yes,Yes,No,4,12,Public Property
A1O 1HC,Garden Waste,No,Yes,Yes,No,4,10,Grass verge
RE7 9QJ,Garden Waste,No,Yes,Yes,No,4,9,Not sure
V4U 7NK,Garden Waste,No,Yes,Yes,No,5,8,Private Property
F1 4JX,Garden Waste,No,Yes,Yes,No,5,7,Public Property
K7 7JT,Garden Waste,No,Yes,Yes,No,5,6,Grass verge
QJ1B 1TF,Garden Waste,No,Yes,Yes,No,5,5,Not sure
TP9 5LB,Garden Waste,No,Yes,Yes,No,6,6,Private Property
X8A 3LA,Garden Waste,No,Yes,Yes,No,6,7,Public Property
W9V 4EO,Garden Waste,No,Yes,Yes,No,6,22,Grass verge
L2S 5NL,Garden Waste,No,Yes,Yes,No,6,23,Not sure
ZR8 4WY,Garden Waste,No,Yes,Yes,No,8,24,Private Property
O7K 6AU,Garden Waste,No,Yes,Yes,No,8,25,Public Property
Y2N 8NC,Garden Waste,No,Yes,Yes,No,8,26,Grass verge
LH3V 9XL,Garden Waste,No,Yes,Yes,No,8,27,Not sure
W6 3RV,Garden Waste,No,Yes,Yes,No,10,28,Private Property
FQ6C 3XL,Garden Waste,No,Yes,Yes,No,10,29,Public Property
L9J 9OP,Garden Waste,No,Yes,Yes,No,10,20,Grass verge
F2 3VO,Garden Waste,No,Yes,Yes,No,10,19,Not sure
B2Y 3GN,Garden Waste,No,Yes,Yes,No,12,18,Private Property
U4O 8DL,Garden Waste,No,Yes,Yes,No,12,17,Public Property
YD7Z 8TM,Garden Waste,No,Yes,Yes,No,12,16,Grass verge
Q9I 2ZJ,Garden Waste,No,Yes,Yes,No,12,15,Not sure
M3 7KM,Garden Waste,No,Yes,Yes,No,14,14,Private Property
II1 3BD,Garden Waste,No,Yes,Yes,No,14,13,Public Property
I6H 8GL,Garden Waste,No,Yes,Yes,No,14,12,Grass verge
M4T 3LK,Garden Waste,No,Yes,Yes,No,14,11,Not sure
LQ5S 6VT,Garden Waste,No,Yes,Yes,No,16,12,Private Property
QU8 1YW,Garden Waste,No,Yes,Yes,No,16,10,Public Property
L3S 7XT,Garden Waste,No,Yes,Yes,No,16,9,Grass verge
FC4 7HV,Garden Waste,No,Yes,Yes,No,16,8,Not sure
E6D 2IV,Garden Waste,No,Yes,Yes,No,20,7,Private Property
NY4J 5WK,Garden Waste,No,Yes,Yes,No,20,6,Public Property
CC5 9MT,Garden Waste,No,Yes,Yes,No,20,5,Grass verge
XF6B 7SB,Garden Waste,No,Yes,Yes,No,20,22,Not sure
CG3 3DL,Garden Waste,No,Yes,Yes,No,40,23,Private Property
VR3S 6BF,Garden Waste,No,Yes,Yes,No,40,24,Public Property
EF9 0MM,Garden Waste,No,Yes,Yes,No,40,25,Grass verge
YB6B 4KO,Garden Waste,No,Yes,Yes,No,40,26,Not sure
HL3 9VH,Garden Waste,No,Yes,No,Yes,4,27,Private Property
DS7 6BG,Garden Waste,No,Yes,No,Yes,4,28,Public Property
XD4 0TP,Garden Waste,No,Yes,No,Yes,4,29,Grass verge
AG2N 1JK,Garden Waste,No,Yes,No,Yes,4,20,Not sure
B2J 8DF,Garden Waste,No,Yes,No,Yes,5,19,Private Property
H8G 4GE,Garden Waste,No,Yes,No,Yes,5,18,Public Property
JG6A 8EU,Garden Waste,No,Yes,No,Yes,5,17,Grass verge
P1Z 7GL,Garden Waste,No,Yes,No,Yes,5,16,Not sure
L2L 3EL,Garden Waste,No,Yes,No,Yes,6,15,Private Property
J3K 5XJ,Garden Waste,No,Yes,No,Yes,6,14,Public Property
I5 9NP,Garden Waste,No,Yes,No,Yes,6,13,Grass verge
XA8A 6MG,Garden Waste,No,Yes,No,Yes,6,12,Not sure
GC6Y 8MU,Garden Waste,No,Yes,No,Yes,8,11,Private Property
W2V 7MB,Garden Waste,No,Yes,No,Yes,8,12,Public Property
QA3R 7ZJ,Garden Waste,No,Yes,No,Yes,8,10,Grass verge
C5 9WV,Garden Waste,No,Yes,No,Yes,8,9,Not sure
F5 5LP,Garden Waste,No,Yes,No,Yes,10,8,Private Property
WZ8E 3DM,Garden Waste,No,Yes,No,Yes,10,7,Public Property
RF4 3LY,Garden Waste,No,Yes,No,Yes,10,6,Grass verge
QY8 9HU,Garden Waste,No,Yes,No,Yes,10,5,Not sure
O9 7GL,Garden Waste,No,Yes,No,Yes,12,6,Private Property
UE5Y 9SD,Garden Waste,No,Yes,No,Yes,12,22,Public Property
NN6K 0WL,Garden Waste,No,Yes,No,Yes,12,8,Grass verge
J2 0HJ,Garden Waste,No,Yes,No,Yes,12,19,Not sure
H6 2FF,Garden Waste,No,Yes,No,Yes,14,18,Private Property
V6L 8UP,Garden Waste,No,Yes,No,Yes,14,17,Public Property
TF9I 8HY,Garden Waste,No,Yes,No,Yes,14,16,Grass verge
D5W 5SU,Garden Waste,No,Yes,No,Yes,14,15,Not sure
Y2 8OV,Garden Waste,No,Yes,No,Yes,16,14,Private Property
UL8 8UK,Garden Waste,No,Yes,No,Yes,16,13,Public Property
W8 1HP,Garden Waste,No,Yes,No,Yes,16,12,Grass verge
A2 5JP,Garden Waste,No,Yes,No,Yes,16,11,Not sure
K7Z 9EF,Garden Waste,No,Yes,No,Yes,20,12,Private Property
Y9 3OC,Garden Waste,No,Yes,No,Yes,20,10,Public Property
U5 9DJ,Garden Waste,No,Yes,No,Yes,20,9,Grass verge
XA3 4UA,Garden Waste,No,Yes,No,Yes,20,8,Not sure
A8B 1XQ,Garden Waste,No,Yes,No,Yes,40,7,Private Property
Y1X 8CJ,Garden Waste,No,Yes,No,Yes,40,6,Public Property
KS1K 6PD,Garden Waste,No,Yes,No,Yes,40,5,Grass verge
KZ4B 2GV,Garden Waste,No,Yes,No,Yes,40,6,Not sure
XG5U 1DT,Garden Waste,No,Yes,No,No,4,7,Private Property
M2V 7JM,Garden Waste,No,Yes,No,No,4,22,Public Property
W1L 1PG,Garden Waste,No,Yes,No,No,4,23,Grass verge
L4 3NI,Garden Waste,No,Yes,No,No,4,24,Not sure
Q1D 4GM,Garden Waste,No,Yes,No,No,5,25,Private Property
LY6F 1NR,Garden Waste,No,Yes,No,No,5,26,Public Property
OZ2 5UQ,Garden Waste,No,Yes,No,No,5,27,Grass verge
X2M 4AZ,Garden Waste,No,Yes,No,No,5,28,Not sure
W5J 1GU,Garden Waste,No,Yes,No,No,6,29,Private Property
R6 4DT,Garden Waste,No,Yes,No,No,6,20,Public Property
MI1 8IB,Garden Waste,No,Yes,No,No,6,19,Grass verge
Q8E 4WU,Garden Waste,No,Yes,No,No,6,18,Not sure
H7X 6TM,Garden Waste,No,Yes,No,No,8,17,Private Property
L9O 8EB,Garden Waste,No,Yes,No,No,8,16,Public Property
GF1 2WD,Garden Waste,No,Yes,No,No,8,15,Grass verge
ZB2P 0CC,Garden Waste,No,Yes,No,No,8,14,Not sure
M9 0GH,Garden Waste,No,Yes,No,No,10,13,Private Property
XM9 4ED,Garden Waste,No,Yes,No,No,10,12,Public Property
A7 8CX,Garden Waste,No,Yes,No,No,10,11,Grass verge
M5 3UE,Garden Waste,No,Yes,No,No,10,12,Not sure
CV8W 9RK,Garden Waste,No,Yes,No,No,12,10,Private Property
V2 7FX,Garden Waste,No,Yes,No,No,12,9,Public Property
A1O 1HC,Garden Waste,No,Yes,No,No,12,8,Grass verge
RE7 9QJ,Garden Waste,No,Yes,No,No,12,7,Not sure
V4U 7NK,Garden Waste,No,Yes,No,No,14,6,Private Property
F1 4JX,Garden Waste,No,Yes,No,No,14,5,Public Property
K7 7JT,Garden Waste,No,Yes,No,No,14,22,Grass verge
QJ1B 1TF,Garden Waste,No,Yes,No,No,14,23,Not sure
TP9 5LB,Garden Waste,No,Yes,No,No,16,24,Private Property
X8A 3LA,Garden Waste,No,Yes,No,No,16,25,Public Property
W9V 4EO,Garden Waste,No,Yes,No,No,16,26,Grass verge
L2S 5NL,Garden Waste,No,Yes,No,No,16,27,Not sure
ZR8 4WY,Garden Waste,No,Yes,No,No,20,28,Private Property
O7K 6AU,Garden Waste,No,Yes,No,No,20,29,Public Property
Y2N 8NC,Garden Waste,No,Yes,No,No,20,20,Grass verge
LH3V 9XL,Garden Waste,No,Yes,No,No,20,19,Not sure
W6 3RV,Garden Waste,No,Yes,No,No,40,18,Private Property
FQ6C 3XL,Garden Waste,No,Yes,No,No,40,17,Public Property
L9J 9OP,Garden Waste,No,Yes,No,No,40,16,Grass verge
F2 3VO,Garden Waste,No,Yes,No,No,40,15,Not sure
B2Y 3GN,Garden Waste,No,No,No,No,4,14,Private Property
U4O 8DL,Garden Waste,No,No,No,No,4,13,Public Property
YD7Z 8TM,Garden Waste,No,No,No,No,4,12,Grass verge
Q9I 2ZJ,Garden Waste,No,No,No,No,4,11,Not sure
M3 7KM,Garden Waste,No,No,No,No,5,12,Private Property
II1 3BD,Garden Waste,No,No,No,No,5,10,Public Property
I6H 8GL,Garden Waste,No,No,No,No,5,9,Grass verge
M4T 3LK,Garden Waste,No,No,No,No,5,8,Not sure
LQ5S 6VT,Garden Waste,No,No,No,No,6,7,Private Property
QU8 1YW,Garden Waste,No,No,No,No,6,8,Public Property
L3S 7XT,Garden Waste,No,No,No,No,6,19,Grass verge
FC4 7HV,Garden Waste,No,No,No,No,6,18,Not sure
E6D 2IV,Garden Waste,No,No,No,No,8,17,Private Property
NY4J 5WK,Garden Waste,No,No,No,No,8,16,Public Property
CC5 9MT,Garden Waste,No,No,No,No,8,15,Grass verge
XF6B 7SB,Garden Waste,No,No,No,No,8,14,Not sure
CG3 3DL,Garden Waste,No,No,No,No,10,13,Private Property
VR3S 6BF,Garden Waste,No,No,No,No,10,12,Public Property
EF9 0MM,Garden Waste,No,No,No,No,10,11,Grass verge
YB6B 4KO,Garden Waste,No,No,No,No,10,12,Not sure
HL3 9VH,Garden Waste,No,No,No,No,12,10,Private Property
DS7 6BG,Garden Waste,No,No,No,No,12,9,Public Property
XD4 0TP,Garden Waste,No,No,No,No,12,8,Grass verge
AG2N 1JK,Garden Waste,No,No,No,No,12,7,Not sure
B2J 8DF,Garden Waste,No,No,No,No,14,6,Private Property
H8G 4GE,Garden Waste,No,No,No,No,14,5,Public Property
JG6A 8EU,Garden Waste,No,No,No,No,14,6,Grass verge
P1Z 7GL,Garden Waste,No,No,No,No,14,7,Not sure
L2L 3EL,Garden Waste,No,No,No,No,16,22,Private Property
J3K 5XJ,Garden Waste,No,No,No,No,16,23,Public Property
I5 9NP,Garden Waste,No,No,No,No,16,24,Grass verge
XA8A 6MG,Garden Waste,No,No,No,No,16,25,Not sure
GC6Y 8MU,Garden Waste,No,No,No,No,20,26,Private Property
W2V 7MB,Garden Waste,No,No,No,No,20,27,Public Property
QA3R 7ZJ,Garden Waste,No,No,No,No,20,28,Grass verge
C5 9WV,Garden Waste,No,No,No,No,20,29,Not sure
F5 5LP,Garden Waste,No,No,No,No,40,20,Private Property
WZ8E 3DM,Garden Waste,No,No,No,No,40,19,Public Property
RF4 3LY,Garden Waste,No,No,No,No,40,18,Grass verge
QY8 9HU,Garden Waste,No,No,No,No,40,17,Not sure
O9 7GL,Commercial Waste,Yes,Yes,Yes,No,4,16,Private Property
UE5Y 9SD,Commercial Waste,Yes,Yes,Yes,No,4,15,Public Property
NN6K 0WL,Commercial Waste,Yes,Yes,Yes,No,4,14,Grass verge
J2 0HJ,Commercial Waste,Yes,Yes,Yes,No,4,13,Not sure
H6 2FF,Commercial Waste,Yes,Yes,Yes,No,5,12,Private Property
V6L 8UP,Commercial Waste,Yes,Yes,Yes,No,5,11,Public Property
TF9I 8HY,Commercial Waste,Yes,Yes,Yes,No,5,12,Grass verge
D5W 5SU,Commercial Waste,Yes,Yes,Yes,No,5,10,Not sure
Y2 8OV,Commercial Waste,Yes,Yes,Yes,No,6,9,Private Property
UL8 8UK,Commercial Waste,Yes,Yes,Yes,No,6,8,Public Property
W8 1HP,Commercial Waste,Yes,Yes,Yes,No,6,7,Grass verge
A2 5JP,Commercial Waste,Yes,Yes,Yes,No,6,6,Not sure
K7Z 9EF,Commercial Waste,Yes,Yes,Yes,No,8,5,Private Property
Y9 3OC,Commercial Waste,Yes,Yes,Yes,No,8,22,Public Property
U5 9DJ,Commercial Waste,Yes,Yes,Yes,No,8,23,Grass verge
XA3 4UA,Commercial Waste,Yes,Yes,Yes,No,8,24,Not sure
A8B 1XQ,Commercial Waste,Yes,Yes,No,Yes,4,25,Private Property
Y1X 8CJ,Commercial Waste,Yes,Yes,No,Yes,4,26,Public Property
KS1K 6PD,Commercial Waste,Yes,Yes,No,Yes,4,27,Grass verge
KZ4B 2GV,Commercial Waste,Yes,Yes,No,Yes,4,28,Not sure
XG5U 1DT,Commercial Waste,Yes,Yes,No,Yes,5,29,Private Property
M2V 7JM,Commercial Waste,Yes,Yes,No,Yes,5,20,Public Property
W1L 1PG,Commercial Waste,Yes,Yes,No,Yes,5,19,Grass verge
L4 3NI,Commercial Waste,Yes,Yes,No,Yes,5,18,Not sure
Q1D 4GM,Commercial Waste,Yes,Yes,No,Yes,6,17,Private Property
LY6F 1NR,Commercial Waste,Yes,Yes,No,Yes,6,16,Public Property
OZ2 5UQ,Commercial Waste,Yes,Yes,No,Yes,6,15,Grass verge
X2M 4AZ,Commercial Waste,Yes,Yes,No,Yes,6,14,Not sure
W5J 1GU,Commercial Waste,Yes,Yes,No,Yes,8,13,Private Property
R6 4DT,Commercial Waste,Yes,Yes,No,Yes,8,12,Public Property
MI1 8IB,Commercial Waste,Yes,Yes,No,Yes,8,11,Grass verge
Q8E 4WU,Commercial Waste,Yes,Yes,No,Yes,8,12,Not sure
H7X 6TM,Commercial Waste,Yes,Yes,No,No,4,10,Private Property
L9O 8EB,Commercial Waste,Yes,Yes,No,No,4,9,Public Property
GF1 2WD,Commercial Waste,Yes,Yes,No,No,4,8,Grass verge
ZB2P 0CC,Commercial Waste,Yes,Yes,No,No,4,7,Not sure
M9 0GH,Commercial Waste,Yes,Yes,No,No,5,6,Private Property
XM9 4ED,Commercial Waste,Yes,Yes,No,No,5,5,Public Property
A7 8CX,Commercial Waste,Yes,Yes,No,No,5,6,Grass verge
M5 3UE,Commercial Waste,Yes,Yes,No,No,5,22,Not sure
CV8W 9RK,Commercial Waste,Yes,Yes,No,No,6,8,Private Property
V2 7FX,Commercial Waste,Yes,Yes,No,No,6,19,Public Property
A1O 1HC,Commercial Waste,Yes,Yes,No,No,6,18,Grass verge
RE7 9QJ,Commercial Waste,Yes,Yes,No,No,6,17,Not sure
V4U 7NK,Commercial Waste,Yes,Yes,No,No,8,16,Private Property
F1 4JX,Commercial Waste,Yes,Yes,No,No,8,15,Public Property
K7 7JT,Commercial Waste,Yes,Yes,No,No,8,14,Grass verge
QJ1B 1TF,Commercial Waste,Yes,Yes,No,No,8,13,Not sure
TP9 5LB,Commercial Waste,Yes,No,No,No,4,12,Private Property
X8A 3LA,Commercial Waste,Yes,No,No,No,4,11,Public Property
W9V 4EO,Commercial Waste,Yes,No,No,No,4,12,Grass verge
L2S 5NL,Commercial Waste,Yes,No,No,No,4,10,Not sure
ZR8 4WY,Commercial Waste,Yes,No,No,No,5,9,Private Property
O7K 6AU,Commercial Waste,Yes,No,No,No,5,8,Public Property
Y2N 8NC,Commercial Waste,Yes,No,No,No,5,7,Grass verge
LH3V 9XL,Commercial Waste,Yes,No,No,No,5,6,Not sure
W6 3RV,Commercial Waste,Yes,No,No,No,6,5,Private Property
FQ6C 3XL,Commercial Waste,Yes,No,No,No,6,6,Public Property
L9J 9OP,Commercial Waste,Yes,No,No,No,6,7,Grass verge
F2 3VO,Commercial Waste,Yes,No,No,No,6,22,Not sure
B2Y 3GN,Commercial Waste,Yes,No,No,No,8,23,Private Property
U4O 8DL,Commercial Waste,Yes,No,No,No,8,24,Public Property
YD7Z 8TM,Commercial Waste,Yes,No,No,No,8,25,Grass verge
Q9I 2ZJ,Commercial Waste,Yes,No,No,No,8,26,Not sure
M3 7KM,Commercial Waste,No,Yes,Yes,No,4,27,Private Property
II1 3BD,Commercial Waste,No,Yes,Yes,No,4,28,Public Property
I6H 8GL,Commercial Waste,No,Yes,Yes,No,4,29,Grass verge
M4T 3LK,Commercial Waste,No,Yes,Yes,No,4,20,Not sure
LQ5S 6VT,Commercial Waste,No,Yes,Yes,No,5,19,Private Property
QU8 1YW,Commercial Waste,No,Yes,Yes,No,5,18,Public Property
L3S 7XT,Commercial Waste,No,Yes,Yes,No,5,17,Grass verge
FC4 7HV,Commercial Waste,No,Yes,Yes,No,5,16,Not sure
E6D 2IV,Commercial Waste,No,Yes,Yes,No,6,15,Private Property
NY4J 5WK,Commercial Waste,No,Yes,Yes,No,6,14,Public Property
CC5 9MT,Commercial Waste,No,Yes,Yes,No,6,13,Grass verge
XF6B 7SB,Commercial Waste,No,Yes,Yes,No,6,12,Not sure
CG3 3DL,Commercial Waste,No,Yes,Yes,No,8,11,Private Property
VR3S 6BF,Commercial Waste,No,Yes,Yes,No,8,12,Public Property
EF9 0MM,Commercial Waste,No,Yes,Yes,No,8,10,Grass verge
YB6B 4KO,Commercial Waste,No,Yes,Yes,No,8,9,Not sure
HL3 9VH,Commercial Waste,No,Yes,Yes,No,10,8,Private Property
DS7 6BG,Commercial Waste,No,Yes,Yes,No,10,7,Public Property
XD4 0TP,Commercial Waste,No,Yes,Yes,No,10,6,Grass verge
AG2N 1JK,Commercial Waste,No,Yes,Yes,No,10,5,Not sure
B2J 8DF,Commercial Waste,No,Yes,Yes,No,12,22,Private Property
H8G 4GE,Commercial Waste,No,Yes,Yes,No,12,23,Public Property
JG6A 8EU,Commercial Waste,No,Yes,Yes,No,12,24,Grass verge
P1Z 7GL,Commercial Waste,No,Yes,Yes,No,12,25,Not sure
L2L 3EL,Commercial Waste,No,Yes,Yes,No,14,26,Private Property
J3K 5XJ,Commercial Waste,No,Yes,Yes,No,14,27,Public Property
I5 9NP,Commercial Waste,No,Yes,Yes,No,14,28,Grass verge
XA8A 6MG,Commercial Waste,No,Yes,Yes,No,14,29,Not sure
GC6Y 8MU,Commercial Waste,No,Yes,Yes,No,16,20,Private Property
W2V 7MB,Commercial Waste,No,Yes,Yes,No,16,19,Public Property
QA3R 7ZJ,Commercial Waste,No,Yes,Yes,No,16,18,Grass verge
C5 9WV,Commercial Waste,No,Yes,Yes,No,16,17,Not sure
F5 5LP,Commercial Waste,No,Yes,Yes,No,20,16,Private Property
WZ8E 3DM,Commercial Waste,No,Yes,Yes,No,20,15,Public Property
RF4 3LY,Commercial Waste,No,Yes,Yes,No,20,14,Grass verge
QY8 9HU,Commercial Waste,No,Yes,Yes,No,20,13,Not sure
O9 7GL,Commercial Waste,No,Yes,Yes,No,40,12,Private Property
UE5Y 9SD,Commercial Waste,No,Yes,Yes,No,40,11,Public Property
NN6K 0WL,Commercial Waste,No,Yes,Yes,No,40,12,Grass verge
J2 0HJ,Commercial Waste,No,Yes,Yes,No,40,8,Not sure
H6 2FF,Commercial Waste,No,Yes,No,Yes,4,19,Private Property
V6L 8UP,Commercial Waste,No,Yes,No,Yes,4,18,Public Property
TF9I 8HY,Commercial Waste,No,Yes,No,Yes,4,17,Grass verge
